CustomerId,geography,Age,age_band,age_band_sort,Tenure,tenure_band,tenure_band_sort,NumOfProducts,product_segment,product_segment_sort,CreditScore,Balance,EstimatedSalary,Gender,HasCrCard,IsActiveMember,member_status,credit_card_status,is_churned,churn_label
15566633,Germany,55,45-60,3,8,Loyal (5+ yr),3,2,2 Products,2,698,155059.1,144584.29,Male,1,1,Active,Has Credit Card,0,Retained
15566660,France,41,30-45,2,10,Loyal (5+ yr),3,3,3+ Products,3,670,0.0,81602.02,Female,1,0,Inactive,Has Credit Card,0,Retained
15566689,Spain,66,60+,4,8,Loyal (5+ yr),3,2,2 Products,2,554,0.0,116747.62,Male,1,1,Active,Has Credit Card,0,Retained
15566708,France,45,30-45,2,4,Established (1-5 yr),2,2,2 Products,2,444,0.0,161653.5,Female,1,0,Inactive,Has Credit Card,1,Churned
15566735,Germany,36,30-45,2,2,Established (1-5 yr),2,2,2 Products,2,548,108913.84,140460.01,Female,1,1,Active,Has Credit Card,0,Retained
15566740,Spain,51,45-60,3,3,Established (1-5 yr),2,1,1 Product,1,587,83739.32,148798.45,Male,0,1,Active,No Credit Card,0,Retained
15566790,France,28,Under 30,1,8,Loyal (5+ yr),3,2,2 Products,2,598,129991.76,46041.08,Male,0,1,Active,No Credit Card,0,Retained
15566843,Germany,20,Under 30,1,9,Loyal (5+ yr),3,1,1 Product,1,535,134874.4,118825.56,Male,1,1,Active,Has Credit Card,0,Retained
15566891,Germany,41,30-45,2,3,Established (1-5 yr),2,1,1 Product,1,584,88594.93,178997.89,Female,1,0,Inactive,Has Credit Card,0,Retained
15566894,France,39,30-45,2,3,Established (1-5 yr),2,1,1 Product,1,793,137817.52,83997.79,Male,0,0,Inactive,No Credit Card,0,Retained
15566958,Spain,39,30-45,2,7,Loyal (5+ yr),3,1,1 Product,1,667,167557.12,41183.02,Male,1,1,Active,Has Credit Card,0,Retained
15566988,Germany,46,45-60,3,7,Loyal (5+ yr),3,1,1 Product,1,656,141535.52,50595.15,Female,1,0,Inactive,Has Credit Card,1,Churned
15567013,Spain,33,30-45,2,3,Established (1-5 yr),2,2,2 Products,2,779,0.0,30804.68,Male,1,0,Inactive,Has Credit Card,0,Retained
15567063,Germany,34,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,766,106434.94,137995.66,Female,0,1,Active,No Credit Card,1,Churned
15567078,France,27,Under 30,1,8,Loyal (5+ yr),3,1,1 Product,1,789,66201.96,79458.12,Female,1,1,Active,Has Credit Card,0,Retained
15567114,France,35,30-45,2,1,Established (1-5 yr),2,1,1 Product,1,430,118894.22,2923.61,Male,0,0,Inactive,No Credit Card,0,Retained
15567147,Spain,40,30-45,2,4,Established (1-5 yr),2,2,2 Products,2,802,0.0,81908.09,Male,1,1,Active,Has Credit Card,0,Retained
15567246,Germany,32,30-45,2,3,Established (1-5 yr),2,2,2 Products,2,684,102630.13,127433.47,Male,1,1,Active,Has Credit Card,0,Retained
15567328,Spain,38,30-45,2,5,Established (1-5 yr),2,1,1 Product,1,738,177997.07,19233.41,Male,0,1,Active,No Credit Card,0,Retained
15567333,France,31,30-45,2,7,Loyal (5+ yr),3,2,2 Products,2,712,0.0,170333.38,Female,1,0,Inactive,Has Credit Card,0,Retained
15567335,France,42,30-45,2,7,Loyal (5+ yr),3,2,2 Products,2,559,0.0,190040.29,Female,1,1,Active,Has Credit Card,0,Retained
15567339,France,73,60+,4,9,Loyal (5+ yr),3,1,1 Product,1,735,0.0,114283.33,Male,1,1,Active,Has Credit Card,0,Retained
15567367,Germany,42,30-45,2,9,Loyal (5+ yr),3,1,1 Product,1,601,133636.16,103315.74,Female,0,1,Active,No Credit Card,0,Retained
15567383,Germany,44,30-45,2,2,Established (1-5 yr),2,2,2 Products,2,678,98009.13,31384.86,Female,0,1,Active,No Credit Card,0,Retained
15567399,Germany,43,30-45,2,3,Established (1-5 yr),2,1,1 Product,1,633,144164.29,158646.46,Male,1,1,Active,Has Credit Card,0,Retained
15567422,France,42,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,630,0.0,162697.93,Male,1,0,Inactive,Has Credit Card,0,Retained
15567431,France,64,60+,4,2,Established (1-5 yr),2,1,1 Product,1,773,145578.28,186172.85,Male,0,1,Active,No Credit Card,0,Retained
15567437,Germany,30,30-45,2,7,Loyal (5+ yr),3,1,1 Product,1,734,123040.38,76503.06,Female,1,1,Active,Has Credit Card,0,Retained
15567442,France,75,60+,4,3,Established (1-5 yr),2,2,2 Products,2,656,0.0,1276.87,Female,1,1,Active,Has Credit Card,0,Retained
15567446,Germany,39,30-45,2,9,Loyal (5+ yr),3,1,1 Product,1,646,111574.41,30838.51,Male,1,1,Active,Has Credit Card,0,Retained
15567486,Spain,41,30-45,2,4,Established (1-5 yr),2,2,2 Products,2,634,0.0,164549.74,Female,1,1,Active,Has Credit Card,0,Retained
15567506,Germany,40,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,738,114940.67,194895.57,Female,1,1,Active,Has Credit Card,1,Churned
15567557,France,27,Under 30,1,2,Established (1-5 yr),2,1,1 Product,1,573,128243.03,11631.34,Male,1,1,Active,Has Credit Card,0,Retained
15567630,Germany,40,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,721,100275.88,138564.48,Male,1,0,Inactive,Has Credit Card,1,Churned
15567725,France,46,45-60,3,7,Loyal (5+ yr),3,2,2 Products,2,689,52016.08,72993.65,Female,1,1,Active,Has Credit Card,0,Retained
15567778,Germany,54,45-60,3,1,Established (1-5 yr),2,1,1 Product,1,690,144027.8,108731.02,Female,1,1,Active,Has Credit Card,1,Churned
15567802,Spain,34,30-45,2,2,Established (1-5 yr),2,2,2 Products,2,450,0.0,175480.93,Female,1,0,Inactive,Has Credit Card,0,Retained
15567832,France,40,30-45,2,7,Loyal (5+ yr),3,1,1 Product,1,550,114354.95,54018.93,Female,1,0,Inactive,Has Credit Card,0,Retained
15567834,France,49,45-60,3,5,Established (1-5 yr),2,1,1 Product,1,719,105918.1,16246.59,Male,1,1,Active,Has Credit Card,0,Retained
15567839,France,42,30-45,2,9,Loyal (5+ yr),3,1,1 Product,1,501,114631.23,91429.74,Male,0,1,Active,No Credit Card,0,Retained
15567855,France,29,Under 30,1,1,Established (1-5 yr),2,2,2 Products,2,623,0.0,39382.06,Female,0,0,Inactive,No Credit Card,0,Retained
15567860,Spain,44,30-45,2,7,Loyal (5+ yr),3,2,2 Products,2,581,189318.16,45026.23,Female,1,0,Inactive,Has Credit Card,1,Churned
15567893,Germany,33,30-45,2,3,Established (1-5 yr),2,2,2 Products,2,556,124213.36,62627.55,Male,1,0,Inactive,Has Credit Card,0,Retained
15567897,Germany,23,Under 30,1,5,Established (1-5 yr),2,1,1 Product,1,619,132725.1,143913.33,Male,1,1,Active,Has Credit Card,0,Retained
15567919,Germany,37,30-45,2,8,Loyal (5+ yr),3,2,2 Products,2,586,167735.69,104665.79,Male,0,1,Active,No Credit Card,0,Retained
15567923,France,30,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,739,0.0,122604.44,Female,0,0,Inactive,No Credit Card,0,Retained
15567980,Germany,46,45-60,3,5,Established (1-5 yr),2,1,1 Product,1,537,100727.5,140857.76,Female,0,1,Active,No Credit Card,1,Churned
15567991,Spain,31,30-45,2,0,New (< 1 yr),1,2,2 Products,2,794,144880.34,175643.44,Male,0,1,Active,No Credit Card,0,Retained
15567993,Spain,28,Under 30,1,8,Loyal (5+ yr),3,1,1 Product,1,828,134766.85,79355.87,Male,1,0,Inactive,Has Credit Card,0,Retained
15568006,France,45,30-45,2,2,Established (1-5 yr),2,4,3+ Products,3,634,0.0,101039.53,Female,1,0,Inactive,Has Credit Card,1,Churned
15568025,France,51,45-60,3,8,Loyal (5+ yr),3,1,1 Product,1,758,81710.46,116520.07,Male,1,1,Active,Has Credit Card,0,Retained
15568032,Germany,31,30-45,2,1,Established (1-5 yr),2,3,3+ Products,3,757,127320.36,163170.32,Male,1,0,Inactive,Has Credit Card,0,Retained
15568044,France,31,30-45,2,7,Loyal (5+ yr),3,2,2 Products,2,508,0.0,6123.15,Female,1,1,Active,Has Credit Card,0,Retained
15568046,France,24,Under 30,1,7,Loyal (5+ yr),3,1,1 Product,1,809,109558.36,183515.13,Male,1,0,Inactive,Has Credit Card,0,Retained
15568088,Germany,44,30-45,2,3,Established (1-5 yr),2,1,1 Product,1,481,163714.52,96123.72,Male,1,0,Inactive,Has Credit Card,0,Retained
15568104,France,26,Under 30,1,6,Loyal (5+ yr),3,2,2 Products,2,749,0.0,34948.77,Female,0,1,Active,No Credit Card,0,Retained
15568106,France,38,30-45,2,8,Loyal (5+ yr),3,2,2 Products,2,592,119278.01,19370.73,Female,0,1,Active,No Credit Card,0,Retained
15568120,France,37,30-45,2,7,Loyal (5+ yr),3,1,1 Product,1,681,69609.85,72127.83,Female,1,1,Active,Has Credit Card,0,Retained
15568162,Spain,53,45-60,3,8,Loyal (5+ yr),3,1,1 Product,1,527,0.0,51711.57,Male,1,1,Active,Has Credit Card,0,Retained
15568164,France,34,30-45,2,4,Established (1-5 yr),2,2,2 Products,2,850,71379.53,154000.99,Female,1,1,Active,Has Credit Card,0,Retained
15568238,Spain,20,Under 30,1,8,Loyal (5+ yr),3,2,2 Products,2,650,0.0,113469.65,Male,1,1,Active,Has Credit Card,0,Retained
15568240,Germany,30,30-45,2,10,Loyal (5+ yr),3,2,2 Products,2,492,77168.87,146700.22,Female,0,1,Active,No Credit Card,0,Retained
15568326,France,44,30-45,2,2,Established (1-5 yr),2,2,2 Products,2,637,0.0,149665.65,Female,1,0,Inactive,Has Credit Card,0,Retained
15568328,France,22,Under 30,1,6,Loyal (5+ yr),3,2,2 Products,2,488,0.0,66393.89,Female,1,1,Active,Has Credit Card,0,Retained
15568360,Spain,41,30-45,2,4,Established (1-5 yr),2,1,1 Product,1,569,139840.36,163524.7,Female,1,1,Active,Has Credit Card,0,Retained
15568429,Spain,46,45-60,3,3,Established (1-5 yr),2,2,2 Products,2,633,0.0,120250.58,Female,1,0,Inactive,Has Credit Card,0,Retained
15568449,Spain,38,30-45,2,7,Loyal (5+ yr),3,1,1 Product,1,661,143006.7,15650.89,Male,1,1,Active,Has Credit Card,0,Retained
15568469,France,43,30-45,2,0,New (< 1 yr),1,2,2 Products,2,653,0.0,27862.58,Male,1,0,Inactive,Has Credit Card,0,Retained
15568487,France,35,30-45,2,7,Loyal (5+ yr),3,1,1 Product,1,712,124616.23,69320.97,Male,1,1,Active,Has Credit Card,0,Retained
15568506,Germany,31,30-45,2,10,Loyal (5+ yr),3,2,2 Products,2,524,67238.98,161811.23,Female,1,1,Active,Has Credit Card,0,Retained
15568519,France,41,30-45,2,9,Loyal (5+ yr),3,2,2 Products,2,534,0.0,13871.34,Male,1,0,Inactive,Has Credit Card,0,Retained
15568562,France,40,30-45,2,8,Loyal (5+ yr),3,1,1 Product,1,689,160272.27,49656.24,Male,1,0,Inactive,Has Credit Card,0,Retained
15568573,Germany,51,45-60,3,7,Loyal (5+ yr),3,1,1 Product,1,554,105701.91,179797.79,Female,0,1,Active,No Credit Card,1,Churned
15568595,France,64,60+,4,9,Loyal (5+ yr),3,1,1 Product,1,544,113829.45,124341.49,Male,1,1,Active,Has Credit Card,0,Retained
15568742,France,41,30-45,2,9,Loyal (5+ yr),3,1,1 Product,1,536,0.0,121299.14,Female,1,0,Inactive,Has Credit Card,0,Retained
15568748,Germany,45,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,671,99564.22,108872.45,Male,1,1,Active,Has Credit Card,1,Churned
15568819,Germany,42,30-45,2,8,Loyal (5+ yr),3,3,3+ Products,3,619,132796.04,191821.35,Female,1,1,Active,Has Credit Card,1,Churned
15568834,Spain,27,Under 30,1,6,Loyal (5+ yr),3,2,2 Products,2,698,125427.37,27654.44,Male,0,0,Inactive,No Credit Card,0,Retained
15568849,Spain,31,30-45,2,10,Loyal (5+ yr),3,1,1 Product,1,540,118158.74,158027.57,Female,1,1,Active,Has Credit Card,0,Retained
15568876,France,34,30-45,2,1,Established (1-5 yr),2,2,2 Products,2,496,102723.35,180844.81,Female,1,0,Inactive,Has Credit Card,0,Retained
15568878,Spain,34,30-45,2,5,Established (1-5 yr),2,2,2 Products,2,654,0.0,159311.46,Male,1,0,Inactive,Has Credit Card,0,Retained
15568885,Germany,34,30-45,2,8,Loyal (5+ yr),3,1,1 Product,1,620,102251.57,120672.09,Female,1,0,Inactive,Has Credit Card,0,Retained
15568904,Germany,34,30-45,2,3,Established (1-5 yr),2,1,1 Product,1,608,106288.54,36639.25,Male,1,1,Active,Has Credit Card,0,Retained
15568915,France,38,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,681,153722.47,101319.76,Male,1,0,Inactive,Has Credit Card,0,Retained
15568953,France,27,Under 30,1,1,Established (1-5 yr),2,1,1 Product,1,477,128554.98,133173.19,Male,1,1,Active,Has Credit Card,0,Retained
15568963,Germany,34,30-45,2,2,Established (1-5 yr),2,1,1 Product,1,674,152797.9,175709.4,Male,1,0,Inactive,Has Credit Card,1,Churned
15568982,France,24,Under 30,1,6,Loyal (5+ yr),3,2,2 Products,2,726,0.0,54724.03,Female,1,1,Active,Has Credit Card,0,Retained
15569050,France,45,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,444,0.0,130009.85,Male,1,0,Inactive,Has Credit Card,1,Churned
15569079,Germany,48,45-60,3,6,Loyal (5+ yr),3,1,1 Product,1,632,126066.26,64345.61,Male,1,0,Inactive,Has Credit Card,1,Churned
15569098,France,44,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,627,153548.12,35300.08,Male,0,0,Inactive,No Credit Card,1,Churned
15569120,France,30,30-45,2,7,Loyal (5+ yr),3,2,2 Products,2,615,0.0,156346.84,Male,1,1,Active,Has Credit Card,0,Retained
15569178,France,18,Under 30,1,4,Established (1-5 yr),2,1,1 Product,1,570,82767.42,71811.9,Female,1,0,Inactive,Has Credit Card,0,Retained
15569187,Spain,35,30-45,2,9,Loyal (5+ yr),3,2,2 Products,2,680,0.0,143774.06,Male,0,0,Inactive,No Credit Card,0,Retained
15569209,Spain,34,30-45,2,5,Established (1-5 yr),2,1,1 Product,1,464,76001.57,158668.87,Female,1,1,Active,Has Credit Card,0,Retained
15569222,France,32,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,781,147107.91,40066.95,Male,1,1,Active,Has Credit Card,0,Retained
15569247,Spain,57,45-60,3,1,Established (1-5 yr),2,1,1 Product,1,727,109679.72,753.37,Female,0,1,Active,No Credit Card,0,Retained
15569248,France,43,30-45,2,10,Loyal (5+ yr),3,2,2 Products,2,554,0.0,149629.13,Female,1,0,Inactive,Has Credit Card,1,Churned
15569249,France,55,45-60,3,6,Loyal (5+ yr),3,3,3+ Products,3,576,44582.07,67539.85,Female,0,1,Active,No Credit Card,1,Churned
15569264,France,32,30-45,2,5,Established (1-5 yr),2,1,1 Product,1,622,179305.09,149043.78,Male,1,1,Active,Has Credit Card,0,Retained
15569266,France,28,Under 30,1,7,Loyal (5+ yr),3,1,1 Product,1,644,155060.41,29179.52,Male,1,0,Inactive,Has Credit Card,0,Retained
15569274,Germany,49,45-60,3,2,Established (1-5 yr),2,1,1 Product,1,678,116933.11,195053.58,Male,1,0,Inactive,Has Credit Card,1,Churned
15569364,France,36,30-45,2,3,Established (1-5 yr),2,2,2 Products,2,666,0.0,35156.54,Male,1,0,Inactive,Has Credit Card,0,Retained
15569394,France,24,Under 30,1,2,Established (1-5 yr),2,2,2 Products,2,704,148197.15,182775.08,Male,1,0,Inactive,Has Credit Card,0,Retained
15569410,Germany,33,30-45,2,7,Loyal (5+ yr),3,2,2 Products,2,601,114430.18,153012.13,Female,1,1,Active,Has Credit Card,0,Retained
15569423,Spain,41,30-45,2,4,Established (1-5 yr),2,2,2 Products,2,731,0.0,22299.27,Male,1,0,Inactive,Has Credit Card,0,Retained
15569430,Spain,36,30-45,2,2,Established (1-5 yr),2,2,2 Products,2,704,175509.8,152039.67,Female,1,0,Inactive,Has Credit Card,0,Retained
15569432,France,48,45-60,3,9,Loyal (5+ yr),3,2,2 Products,2,656,0.0,85240.61,Female,1,1,Active,Has Credit Card,1,Churned
15569438,Germany,36,30-45,2,10,Loyal (5+ yr),3,2,2 Products,2,607,106702.94,198313.69,Male,0,0,Inactive,No Credit Card,0,Retained
15569446,France,34,30-45,2,8,Loyal (5+ yr),3,2,2 Products,2,732,122338.43,187985.85,Female,1,0,Inactive,Has Credit Card,0,Retained
15569451,France,35,30-45,2,2,Established (1-5 yr),2,1,1 Product,1,463,101257.16,118113.64,Male,1,1,Active,Has Credit Card,0,Retained
15569452,Germany,58,45-60,3,3,Established (1-5 yr),2,2,2 Products,2,652,116353.2,193502.9,Female,0,1,Active,No Credit Card,0,Retained
15569503,France,44,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,765,0.0,159899.97,Male,1,1,Active,Has Credit Card,0,Retained
15569526,France,40,30-45,2,10,Loyal (5+ yr),3,2,2 Products,2,601,98627.13,77977.69,Male,0,0,Inactive,No Credit Card,0,Retained
15569571,Germany,46,45-60,3,6,Loyal (5+ yr),3,2,2 Products,2,584,87361.02,120376.87,Female,1,0,Inactive,Has Credit Card,1,Churned
15569572,France,42,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,778,0.0,106197.44,Male,1,1,Active,Has Credit Card,0,Retained
15569590,Germany,42,30-45,2,1,Established (1-5 yr),2,1,1 Product,1,601,98495.72,40014.76,Male,1,0,Inactive,Has Credit Card,1,Churned
15569595,France,50,45-60,3,6,Loyal (5+ yr),3,1,1 Product,1,678,0.0,8199.5,Female,1,0,Inactive,Has Credit Card,0,Retained
15569624,Germany,31,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,671,105864.6,145567.34,Female,1,0,Inactive,Has Credit Card,0,Retained
15569626,Spain,35,30-45,2,5,Established (1-5 yr),2,1,1 Product,1,577,110080.3,109794.31,Male,1,1,Active,Has Credit Card,0,Retained
15569641,Germany,41,30-45,2,8,Loyal (5+ yr),3,1,1 Product,1,692,130701.29,59354.24,Female,1,0,Inactive,Has Credit Card,1,Churned
15569654,Germany,31,30-45,2,3,Established (1-5 yr),2,1,1 Product,1,850,51293.47,35534.68,Female,0,0,Inactive,No Credit Card,0,Retained
15569666,France,45,30-45,2,4,Established (1-5 yr),2,1,1 Product,1,517,0.0,172674.36,Female,0,0,Inactive,No Credit Card,1,Churned
15569670,Germany,30,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,627,112372.96,118029.09,Male,1,1,Active,Has Credit Card,0,Retained
15569678,Germany,32,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,561,166824.59,139451.98,Male,1,0,Inactive,Has Credit Card,0,Retained
15569682,Germany,37,30-45,2,9,Loyal (5+ yr),3,1,1 Product,1,768,108308.11,41788.25,Male,1,0,Inactive,Has Credit Card,1,Churned
15569759,France,27,Under 30,1,4,Established (1-5 yr),2,3,3+ Products,3,583,0.0,163113.41,Female,1,0,Inactive,Has Credit Card,0,Retained
15569764,Germany,41,30-45,2,2,Established (1-5 yr),2,1,1 Product,1,687,154007.21,158408.23,Female,1,0,Inactive,Has Credit Card,0,Retained
15569807,France,34,30-45,2,8,Loyal (5+ yr),3,1,1 Product,1,673,42157.08,20598.59,Female,1,0,Inactive,Has Credit Card,1,Churned
15569867,France,29,Under 30,1,8,Loyal (5+ yr),3,2,2 Products,2,529,0.0,19842.11,Female,1,0,Inactive,Has Credit Card,0,Retained
15569878,France,37,30-45,2,3,Established (1-5 yr),2,1,1 Product,1,592,96651.03,3232.82,Male,1,1,Active,Has Credit Card,0,Retained
15569892,France,35,30-45,2,10,Loyal (5+ yr),3,1,1 Product,1,516,57369.61,101699.77,Male,1,1,Active,Has Credit Card,0,Retained
15569917,Spain,30,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,706,87609.68,137674.55,Male,0,0,Inactive,No Credit Card,1,Churned
15569945,Spain,29,Under 30,1,1,Established (1-5 yr),2,2,2 Products,2,509,0.0,69113.14,Male,1,0,Inactive,Has Credit Card,0,Retained
15569976,Germany,65,60+,4,1,Established (1-5 yr),2,1,1 Product,1,754,136186.44,121529.59,Male,1,1,Active,Has Credit Card,1,Churned
15570002,Germany,55,45-60,3,8,Loyal (5+ yr),3,4,3+ Products,3,625,118772.71,135853.62,Female,0,0,Inactive,No Credit Card,1,Churned
15570004,France,31,30-45,2,3,Established (1-5 yr),2,2,2 Products,2,850,0.0,121866.87,Male,1,0,Inactive,Has Credit Card,0,Retained
15570051,Germany,38,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,775,179886.41,153122.58,Female,0,0,Inactive,No Credit Card,0,Retained
15570060,France,43,30-45,2,8,Loyal (5+ yr),3,1,1 Product,1,586,132558.26,67046.83,Female,1,0,Inactive,Has Credit Card,1,Churned
15570073,Spain,57,45-60,3,1,Established (1-5 yr),2,1,1 Product,1,721,0.0,195940.96,Male,1,1,Active,Has Credit Card,0,Retained
15570086,Germany,18,Under 30,1,9,Loyal (5+ yr),3,1,1 Product,1,684,90544.0,4777.23,Male,0,1,Active,No Credit Card,0,Retained
15570087,France,44,30-45,2,8,Loyal (5+ yr),3,1,1 Product,1,664,142989.69,115452.51,Female,1,1,Active,Has Credit Card,1,Churned
15570134,France,35,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,683,187530.66,37976.36,Female,1,1,Active,Has Credit Card,0,Retained
15570141,France,34,30-45,2,3,Established (1-5 yr),2,1,1 Product,1,724,132352.69,80320.3,Female,1,0,Inactive,Has Credit Card,0,Retained
15570145,France,23,Under 30,1,2,Established (1-5 yr),2,2,2 Products,2,763,0.0,153983.99,Female,1,0,Inactive,Has Credit Card,0,Retained
15570192,Germany,40,30-45,2,8,Loyal (5+ yr),3,1,1 Product,1,608,121729.42,61164.45,Female,0,0,Inactive,No Credit Card,0,Retained
15570194,France,29,Under 30,1,5,Established (1-5 yr),2,2,2 Products,2,412,0.0,12510.53,Male,0,0,Inactive,No Credit Card,0,Retained
15570205,Spain,36,30-45,2,5,Established (1-5 yr),2,2,2 Products,2,682,0.0,147758.51,Male,1,1,Active,Has Credit Card,0,Retained
15570271,Spain,31,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,577,0.0,196395.25,Male,1,1,Active,Has Credit Card,0,Retained
15570289,Germany,43,30-45,2,8,Loyal (5+ yr),3,1,1 Product,1,697,103409.16,66893.28,Male,1,0,Inactive,Has Credit Card,1,Churned
15570299,Germany,31,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,584,152622.34,99298.8,Female,1,0,Inactive,Has Credit Card,0,Retained
15570326,France,34,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,621,0.0,99128.13,Male,1,1,Active,Has Credit Card,0,Retained
